ISCO Code,Name,Qualities
1,Managers,"Leadership, Result Orientation, Emotional Stability, Entrepreneurialism"
2,Professionals,"Creativity, Ethical Guidelines, Risk Tolerance"
3,Technicians and Associate Professionals,"Result Orientation, Teamwork"
4,Clerical Support Workers,"Teamwork, Emotional Stability"
5,Service and Sales Workers,"Extroversion, Teamwork, Result Orientation"
6,"Skilled Agricultural, Forestry and Fishery Workers","Result Orientation, Risk Tolerance"
7,Craft and Related Trades Workers,"Creativity, Result Orientation"
8,"Plant and Machine Operators, and Assemblers","Teamwork, Emotional Stability"
9,Elementary Occupations,"Teamwork, Emotional Stability"
11,"Chief Executives, Senior Officials and Legislators","Leadership, Drive for Power, Ethical Guidelines, Entrepreneurialism"
12,Administrative and Commercial Managers,"Result Orientation, Teamwork, Emotional Stability, Entrepreneurialism"
13,Production and Specialized Services Managers,"Creativity, Risk Tolerance, Leadership, Entrepreneurialism"
14,"Hospitality, Retail and Other Services Managers","Extroversion, Teamwork, Emotional Stability, Entrepreneurialism"
21,Science and Engineering Professionals,"Creativity, Ethical Guidelines, Risk Tolerance, Entrepreneurialism"
22,Health Professionals,"Emotional Stability, Ethical Guidelines, Teamwork"
23,Teaching Professionals,"Creativity, Extroversion, Ethical Guidelines"
24,Business and Administration Professionals,"Result Orientation, Teamwork, Ethical Guidelines, Entrepreneurialism"
25,Information and Communications Technology Professionals,"Creativity, Result Orientation"
26,"Legal, Social and Cultural Professionals","Ethical Guidelines, Creativity, Leadership, Entrepreneurialism"
31,Science and Engineering Associate Professionals,"Result Orientation, Teamwork"
32,Health Associate Professionals,"Emotional Stability, Ethical Guidelines, Teamwork"
33,Business and Administration Associate Professionals,"Result Orientation, Teamwork"
34,"Legal, Social, Cultural and Related Associate Professionals","Creativity, Ethical Guidelines, Leadership"
35,Information and Communications Technicians,"Result Orientation, Creativity"
41,General and Keyboard Clerks,"Teamwork, Emotional Stability"
42,Customer Services Clerks,"Extroversion, Emotional Stability, Teamwork"
43,Numerical and Material Recording Clerks,"Result Orientation, Teamwork"
44,Other Clerical Support Workers,"Teamwork, Emotional Stability"
51,Personal Services Workers,"Extroversion, Emotional Stability, Teamwork"
52,Sales Workers,"Extroversion, Teamwork, Result Orientation, Entrepreneurialism"
53,Personal Care Workers,"Emotional Stability, Ethical Guidelines"
54,Protective Services Workers,"Risk Tolerance, Emotional Stability"
61,Market-oriented Skilled Agricultural Workers,"Result Orientation, Risk Tolerance, Entrepreneurialism"
62,"Market-oriented Skilled Forestry, Fishery and Hunting Workers","Risk Tolerance, Emotional Stability, Entrepreneurialism"
63,"Subsistence Farmers, Fishers, Hunters and Gatherers","Risk Tolerance, Emotional Stability, Entrepreneurialism"
71,Building and Related Trades Workers (excluding electricians),"Creativity, Result Orientation"
72,"Metal, Machinery and Related Trades Workers","Result Orientation, Creativity"
73,Handicraft and Printing Workers,"Creativity, Result Orientation, Attention to Detail"
74,Electrical and Electronics Trades Workers,"Creativity, Result Orientation"
75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers","Creativity, Result Orientation, Attention to Detail"
81,Stationary Plant and Machine Operators,"Teamwork, Emotional Stability"
82,Assemblers,"Teamwork, Result Orientation"
83,Drivers and Mobile Plant Operators,"Risk Tolerance, Emotional Stability"
91,Cleaners and Helpers,"Emotional Stability, Teamwork"
92,"Agricultural, Forestry and Fishery Labourers","Risk Tolerance, Emotional Stability"
93,"Labourers in Mining, Construction, Manufacturing and Transport","Teamwork, Emotional Stability"
94,Food Preparation Assistants,"Teamwork, Emotional Stability"
95,Street and Related Sales and Service Workers,"Extroversion, Teamwork, Result Orientation"
96,Refuse Workers and Other Elementary Workers,"Teamwork, Emotional Stability"
